Date	SNB	SNB 1D volatility	SNB 3D volatility	SNB 5D volatility	SNB 5D volatility	SNB 5D volatility	SNB 5D volatility	SNB	SNB 1D volatility	SNB 3D volatility	SNB 5D volatility	SNB 5D volatility	SNB 5D volatility	SNB 5D volatility
2015-01-02	100.0	0.07693947393123132	0.08754455364703757	0.08464548493793175	0.08602348957233882	0.08518979286334491	0.08405224325196806	100.0	0.08131719652518705	0.09689036069779831	0.10019133873854694	0.09509201334223027	0.09935487648051015	0.10075172264457212
2015-01-05	100.06729209370806	0.07438690949661039	0.08533511943763435	0.08326524576273042	0.08314571004112141	0.08359929421657063	0.08285284221845597	99.94556756448097	0.07895980932501075	0.09422381855234188	0.09822805497152552	0.09168071455210258	0.09725034212175478	0.09891166430084691
2015-01-06	100.39635763241775	0.07252478529124695	0.08386621944614443	0.08118301717279361	0.07949544130874725	0.08128819387544146	0.08097026694891514	100.2760705616838	0.07706364181403862	0.09212067317415419	0.09571448158543376	0.08766220300994886	0.09455870057154875	0.09655547843464288
2015-01-07	100.70851025086482	0.07055061907817103	0.0814929342695009	0.08024298677610658	0.07730931921300588	0.08016666927657874	0.08018768111451628	100.58796303915678	0.07502656917604997	0.08933500491302024	0.09432237403047006	0.08513632678194329	0.09305901517423805	0.09525770557071017
2015-01-08	101.28456600852196	0.0710745342450516	0.08178263558640475	0.08139587848489496	0.07785013102722184	0.08122957735485589	0.0814169151884459	101.16117362123423	0.07546202186844107	0.08972501770586795	0.09467856160711824	0.08497893352340917	0.09341051232141892	0.09561705705159065
2015-01-09	101.05340455131717	0.07133329134968343	0.07918033285808922	0.07895807609310851	0.07397531956748042	0.07856664916475321	0.07917971373552167	100.92819239235365	0.07522312385115258	0.08699165618148637	0.09182327152853037	0.0807511773266436	0.09035449771054635	0.09294242147029039
2015-01-12	101.22106726263627	0.06891850915136906	0.07650016975765223	0.07678360320860833	0.070465544549632	0.07618149710910678	0.07719340208744085	101.06337562347683	0.07267246422174217	0.08406451571133564	0.0894628308088402	0.0771396002192472	0.08782100101676069	0.09073730717385525
2015-01-13	101.60579850947462	0.06746791998472752	0.07404217811213161	0.07475940016248533	0.06721877121790006	0.07396065776499722	0.07534581145594105	101.2698042928843	0.07029075420596305	0.08163004873591453	0.08680766026421304	0.07334330693805188	0.08499009592644641	0.0882426916789117
2015-01-14	101.48983067623361	0.0665392448386464	0.071538956413394	0.07222596836527405	0.06393932368244665	0.07127836319460082	0.07295328831305263	100.88456611708206	0.07225497731902053	0.07974387781031193	0.08417955001257171	0.07086853759615992	0.08229072680003573	0.08569987905193616
2015-01-15	85.02850199899953	0.7826607727253758	0.4582387739685879	0.3657536871180848	0.43967477374192554	0.3775337959936678	0.35503220102241567	84.76587277572119	0.7695038062557424	0.4600410739892251	0.3676015842296822	0.44025207645764436	0.3789535316432276	0.35730320139421423
2015-01-16	85.38162628188094	0.7588890120587386	0.6116014791988513	0.47911220582096425	0.5629386235965512	0.49305971506223534	0.4662492718914242	85.10846899841789	0.7462858668682973	0.6106077526115234	0.4802125015745174	0.5632618056172949	0.4937791966515577	0.46774026662566875
2015-01-20	87.15764181073452	0.7463596986079516	0.6832362849705084	0.5346428333518894	0.611983002472707	0.548220771274374	0.5219177069939844	86.89718762065851	0.7348262540542827	0.6774898788706427	0.5349613529026352	0.6116660046785753	0.5481574655189411	0.5226356358124264
2015-01-21	85.92247408735551	0.7219609989355262	0.6671999467128117	0.5887676616053751	0.6574447455410328	0.601629939716339	0.5764873987986538	85.73502263380071	0.7106030449366664	0.6624131498136728	0.5862816891202477	0.6540662290131796	0.5987022266836337	0.5744625959350922
2015-01-22	86.58329637916819	0.7010230044198861	0.6523790934223572	0.6204452414504861	0.675142098806362	0.6316970443954856	0.609430906945827	86.41581635522276	0.6903028237061217	0.648668018964748	0.6140179570721667	0.667498750236229	0.6247532709024225	0.6035415593732592
2015-01-23	87.03589375040927	0.6793981775644249	0.6323443088123981	0.613779786415291	0.6723099336809005	0.6251042496510831	0.6028155586311938	86.87004280997547	0.6691332139942655	0.629151366636676	0.6088780043659433	0.6670973632972316	0.6198538457335379	0.5983013568436922
2015-01-26	89.24643120224319	0.672507633987132	0.6310505057203056	0.6166905682090491	0.6812722969487128	0.6285941906444175	0.6052984770530836	89.21600800511688	0.664691465894278	0.6297222606311358	0.6146007496727496	0.6800527479726748	0.6263803852911533	0.6033905543057155
2015-01-27	89.39719005551235	0.6501372786484388	0.6234883406290439	0.6070439165986756	0.667123899524961	0.6182479669237226	0.5962840073699665	89.34175438246623	0.642542967675717	0.6231929308694666	0.6064312185667546	0.6677966141391405	0.6176159394147243	0.5957526771502455
2015-01-28	89.82720973873657	0.6291823474762247	0.6143273787846352	0.6055206496733019	0.663564954301891	0.6164575966456396	0.5949958456243576	89.68315135326125	0.6215996881028972	0.6143072754850665	0.6055887785315541	0.664680525623853	0.6165247555325758	0.5951167048554411
2015-01-29	91.36523310216033	0.6149553671425764	0.6002465376984975	0.6068815174515689	0.6619150480221411	0.6175013626045808	0.5966096595663997	91.21295110562677	0.6077279303059152	0.5997328801356734	0.6073985921409184	0.6631338379707078	0.6180134226575287	0.5971708372500883
2015-01-30	91.14354444794695	0.5941351538412427	0.5843714749958483	0.6013417443749259	0.648886777838815	0.6110348436430594	0.5918430428685606	90.98341402119152	0.5871536682834295	0.5835633763801037	0.6021216258637552	0.6500794292019224	0.6117990149802255	0.5926674213262204
