time,price
1442361600,227.55
1442448000,233.08
1442534400,233.62
1442620800,231.1
1442707200,229.16
1442793600,226.9
1442880000,230.48
1442966400,230.46
1443052800,235.31
1443139200,235.44
1443225600,234.05
1443312000,232.62
1443398400,238.31
1443484800,237.5
1443571200,237.33
1443657600,238.3
1443744000,237.68
1443830400,239.34
1443916800,238.47
1444003200,239.24
1444089600,246.71
1444176000,245.28
1444262400,244.16
1444348800,244.48
1444435200,245.27
1444521600,247.75
1444608000,246.53
1444694400,250.25
1444780800,253.79
1444867200,254.43
1444953600,265.93
1445040000,264.62
1445126400,263.4
1445212800,263.82
1445299200,270.88
1445385600,269.04
1445472000,273.14
1445558400,278.38
1445644800,279.97
1445731200,293.99
1445817600,283.87
1445904000,296.1
1445990400,300.75
1446076800,311.97
1446163200,327.05
1446249600,311.64
1446336000,313.99
1446422400,342.54
1446508800,417.0
1446595200,475.5
1446681600,404.46
1446768000,380.11
1446854400,388.0
1446940800,381.02
1447027200,379.99
1447113600,351.9
1447200000,308.65
1447286400,324.03
1447372800,332.11
1447459200,332.72
1447545600,321.14
1447632000,330.77
1447718400,336.5
1447804800,333.49
1447891200,329.0
1447977600,319.06
1448064000,325.18
1448150400,322.96
1448236800,323.98
1448323200,321.68
1448409600,325.72
1448496000,350.03
1448582400,359.86
1448668800,356.66
1448755200,362.3
1448841600,374.19
1448928000,362.78
1449014400,358.62
1449100800,364.07
1449187200,361.37
1449273600,377.5
1449360000,391.62
1449446400,395.58
1449532800,395.38
1449619200,411.99
1449705600,415.6
1449792000,443.36
1449878400,424.69
1449964800,438.83
1450051200,444.78
1450137600,458.68
1450224000,454.87
1450310400,454.13
1450396800,458.21
1450483200,459.73
1450569600,441.28
1450656000,435.0
1450742400,433.53
1450828800,443.16
1450915200,453.38
1451001600,455.23
1451088000,415.58
1451174400,419.35
1451260800,423.74
1451347200,430.0
1451433600,426.88
1451520000,431.28
1451606400,432.02
1451692800,433.47
1451779200,426.99
1451865600,433.15
1451952000,432.31
1452038400,430.5
1452124800,456.75
1452211200,450.0
1452297600,450.15
1452384000,446.85
1452470400,447.95
1452556800,446.63
1452643200,429.5
1452729600,432.0
1452816000,390.82
1452902400,374.59
1452988800,386.08
1453075200,385.48
1453161600,379.24
1453248000,408.57
1453334400,408.1
1453420800,383.7
1453507200,388.71
1453593600,403.72
1453680000,389.89
1453766400,393.48
1453852800,394.43
1453939200,382.45
1454025600,376.47
1454112000,377.71
1454198400,375.98
1454284800,371.91
1454371200,373.05
1454457600,368.88
1454544000,383.47
1454630400,386.7
1454716800,375.52
1454803200,374.48
1454889600,375.36
1454976000,373.56
1455062400,379.75
1455148800,375.97
1455235200,382.0
1455321600,389.6
1455408000,399.8
1455494400,401.91
1455580800,406.34
1455667200,420.9
1455753600,418.0
1455840000,417.38
1455926400,443.4
1456012800,434.46
1456099200,438.5
1456185600,416.46
1456272000,422.69
1456358400,422.18
1456444800,424.45
1456531200,431.99
1456617600,432.35
1456704000,435.9
1456790400,431.78
1456876800,429.37
1456963200,420.68
1457049600,417.5
1457136000,398.5
1457222400,408.51
1457308800,412.49
1457395200,410.83
1457481600,412.99
1457568000,415.99
1457654400,420.95
1457740800,409.09
1457827200,412.69
1457913600,413.89
1458000000,415.98
1458086400,415.98
1458172800,418.88
1458259200,404.02
1458345600,404.93
1458432000,411.26
1458518400,411.37
1458604800,416.0
1458691200,418.67
1458777600,416.49
1458864000,416.0
1458950400,416.1
1459036800,426.0
1459123200,422.09
1459209600,414.0
1459296000,412.99
1459382400,416.43
1459468800,415.59
1459555200,418.89
1459641600,418.21
1459728000,419.66
1459814400,420.83
1459900800,421.74
1459987200,420.0
1460073600,418.51
1460160000,418.0
1460246400,420.66
1460332800,421.74
1460419200,424.12
1460505600,424.41
1460592000,424.95
1460678400,428.31
1460764800,429.81
1460851200,426.69
1460937600,426.64
1461024000,430.0
1461110400,440.78
1461196800,449.99
1461283200,449.0
1461369600,448.33
1461456000,462.49
1461542400,463.1
1461628800,469.31
1461715200,452.96
1461801600,448.92
1461888000,455.0
1461974400,449.02
1462060800,451.98
1462147200,442.25
1462233600,451.3
1462320000,446.7
1462406400,449.27
1462492800,456.0
1462579200,460.04
1462665600,458.1
1462752000,461.0
1462838400,453.14
1462924800,452.93
1463011200,452.81
1463097600,455.75
1463184000,456.47
1463270400,457.42
1463356800,453.59
1463443200,453.42
1463529600,454.02
1463616000,441.94
1463702400,441.35
1463788800,443.21
1463875200,438.82
1463961600,442.03
1464048000,445.7
1464134400,448.21
1464220800,452.33
1464307200,473.96
1464393600,493.0
1464480000,536.95
1464566400,532.89
1464652800,522.72
1464739200,533.76
1464825600,534.01
1464912000,569.79
1464998400,570.41
1465084800,572.02
1465171200,583.99
1465257600,573.62
1465344000,580.21
1465430400,576.8
1465516800,577.9
1465603200,583.7
1465689600,646.89
1465776000,687.31
1465862400,683.04
1465948800,693.85
1466035200,767.78
1466121600,756.0
1466208000,769.07
1466294400,760.0
1466380800,732.73
1466467200,649.98
1466553600,622.4
1466640000,605.74
1466726400,658.44
1466812800,652.74
1466899200,624.95
1466985600,643.54
1467072000,646.17
1467158400,632.91
1467244800,664.01
1467331200,676.0
1467417600,695.02
1467504000,664.78
1467590400,673.55
1467676800,670.79
1467763200,675.64
1467849600,619.08
1467936000,653.97
1468022400,641.96
1468108800,647.48
1468195200,648.64
1468281600,667.55
1468368000,656.11
1468454400,661.82
1468540800,663.48
1468627200,663.65
1468713600,679.95
1468800000,671.01
1468886400,669.1
1468972800,666.22
1469059200,664.5
1469145600,655.98
1469232000,654.8
1469318400,661.31
1469404800,655.12
1469491200,653.39
1469577600,656.38
1469664000,655.11
1469750400,657.19
1469836800,653.23
1469923200,631.09
1470009600,613.21
1470096000,564.95
1470182400,566.92
1470268800,561.99
1470355200,574.4
1470441600,582.96
1470528000,587.94
1470614400,589.77
1470700800,583.25
1470787200,595.44
1470873600,589.58
1470960000,584.8
1471046400,584.86
1471132800,564.97
1471219200,565.66
1471305600,578.63
1471392000,570.48
1471478400,571.67
1471564800,573.86
1471651200,578.0
1471737600,577.11
1471824000,582.99
1471910400,580.04
1471996800,579.51
1472083200,575.03
1472169600,578.06
1472256000,568.87
1472342400,570.06
1472428800,574.09
1472515200,575.07
1472601600,571.78
1472688000,570.36
1472774400,572.0
1472860800,588.8
1472947200,601.87
1473033600,602.99
1473120000,608.91
1473206400,613.95
1473292800,624.25
1473379200,620.84
1473465600,623.12
1473552000,600.61
1473638400,606.24
1473724800,607.89
1473811200,609.58
1473897600,605.53
1473984000,607.39
1474070400,604.48
1474156800,607.83
1474243200,607.36
1474329600,606.81
1474416000,594.48
1474502400,594.53
1474588800,600.19
1474675200,600.24
1474761600,598.37
1474848000,604.07
1474934400,605.73
1475020800,603.96
1475107200,604.2
1475193600,604.84
1475280000,612.74
1475366400,608.9
1475452800,611.16
1475539200,607.73
1475625600,609.98
1475712000,610.39
1475798400,613.23
1475884800,614.72
1475971200,613.06
1476057600,614.5
1476144000,638.0
1476230400,636.51
1476316800,635.67
1476403200,638.67
1476489600,638.15
1476576000,639.0
1476662400,636.93
1476748800,635.12
1476835200,627.28
1476921600,627.22
1477008000,630.16
1477094400,652.87
1477180800,649.0
1477267200,648.85
1477353600,653.76
1477440000,672.06
1477526400,682.46
1477612800,683.63
1477699200,712.17
1477785600,699.63
1477872000,704.89
1477958400,726.39
1478044800,725.85
1478131200,702.98
1478217600,694.99
1478304000,702.36
1478390400,704.97
1478476800,706.97
1478563200,707.47
1478649600,723.94
1478736000,714.17
1478822400,716.28
1478908800,702.9
1478995200,698.6
1479081600,698.45
1479168000,716.38
1479254400,736.55
1479340800,741.76
1479427200,744.16
1479513600,748.92
1479600000,716.05
1479686400,735.46
1479772800,747.94
1479859200,735.6
1479945600,732.15
1480032000,734.5
1480118400,729.05
1480204800,728.15
1480291200,731.14
1480377600,732.45
1480464000,741.55
1480550400,752.97
1480636800,767.53
1480723200,764.95
1480809600,757.99
1480896000,749.8
1480982400,753.3
1481068800,768.22
1481155200,768.22
1481241600,769.42
1481328000,772.43
1481414400,769.49
1481500800,777.71
1481587200,779.53
1481673600,773.57
1481760000,776.7
1481846400,779.93
1481932800,788.21
1482019200,785.76
1482105600,790.11
1482192000,791.84
1482278400,820.8
1482364800,861.98
1482451200,895.17
1482537600,895.42
1482624000,880.19
1482710400,900.0
1482796800,935.9
1482883200,959.99
1482969600,958.82
1483056000,954.86
1483142400,963.16
1483228800,996.22
1483315200,1012.99
1483401600,1020.34
1483488000,1134.81
1483574400,979.52
1483660800,890.78
1483747200,892.01
1483833600,903.33
1483920000,888.63
1484006400,903.08
1484092800,773.45
1484179200,806.97
1484265600,825.39
1484352000,831.86
1484438400,814.06
1484524800,829.19
1484611200,904.0
1484697600,868.0
1484784000,904.26
1484870400,895.07
1484956800,920.33
1485043200,913.36
1485129600,920.26
1485216000,909.07
1485302400,894.64
1485388800,910.03
1485475200,919.0
1485561600,916.32
1485648000,912.54
1485734400,919.35
1485820800,955.79
1485907200,975.84
1485993600,1000.96
1486080000,1012.99
1486166400,1035.56
1486252800,1007.44
1486339200,1020.0
1486425600,1048.28
1486512000,1058.57
1486598400,976.03
1486684800,986.59
1486771200,1013.74
1486857600,999.01
1486944000,1000.18
1487030400,1008.19
1487116800,1009.34
1487203200,1039.84
1487289600,1055.12
1487376000,1060.44
1487462400,1045.2
1487548800,1060.12
1487635200,1114.39
1487721600,1134.15
1487808000,1161.0
1487894400,1189.01
1487980800,1152.98
1488067200,1174.8
1488153600,1193.04
1488240000,1195.39
1488326400,1221.7
1488412800,1263.53
1488499200,1270.46
1488585600,1257.18
1488672000,1268.84
1488758400,1276.91
1488844800,1250.87
1488931200,1186.13
1489017600,1199.76
1489104000,1247.93
1489190400,1172.96
1489276800,1230.4
1489363200,1240.42
1489449600,1249.88
1489536000,1249.81
1489622400,1187.2
1489708800,1123.46
1489795200,979.9
1489881600,1053.0
1489968000,1034.94
1490054400,1110.57
1490140800,1012.07
1490227200,1039.24
1490313600,975.85
1490400000,942.01
1490486400,977.88
1490572800,1013.01
1490659200,1025.59
1490745600,1035.89
1490832000,1028.02
1490918400,1069.99
1491004800,1072.73
1491091200,1095.01
1491177600,1146.21
1491264000,1140.0
1491350400,1131.2
1491436800,1184.78
1491523200,1195.01
1491609600,1178.89
1491696000,1211.96
1491782400,1207.57
1491868800,1217.54
1491955200,1217.1
1492041600,1169.99
1492128000,1167.35
1492214400,1181.61
1492300800,1172.0
1492387200,1185.65
1492473600,1202.04
1492560000,1205.5
1492646400,1227.33
1492732800,1238.85
1492819200,1240.78
1492905600,1239.5
1492992000,1252.31
1493078400,1276.23
1493164800,1300.82
1493251200,1327.28
1493337600,1314.05
1493424000,1336.03
1493510400,1334.83
1493596800,1407.9
1493683200,1433.07
1493769600,1491.54
1493856000,1539.64
1493942400,1517.84
1494028800,1558.04
1494115200,1530.57
1494201600,1604.39
1494288000,1744.35
1494374400,1771.12
1494460800,1836.09
1494547200,1680.0
1494633600,1720.91
1494720000,1757.0
1494806400,1691.9
1494892800,1730.67
1494979200,1795.0
1495065600,1858.91
1495152000,1925.0
1495238400,1974.98
1495324800,2008.69
1495411200,2138.01
1495497600,2239.99
1495584000,2470.0
1495670400,2369.87
1495756800,2287.92
1495843200,2133.0
1495929600,2155.44
1496016000,2317.65
1496102400,2251.0
1496188800,2304.63
1496275200,2390.0
1496361600,2418.78
1496448000,2571.87
